SITE_ID,DATE,PARAMETER,VALUE,UNITS
SQ20601,20/03/2000,Chlorophyll_a,0.0398,mg/L
SQ20601,17/07/2000,Chlorophyll_a,0.0016,mg/L
SQ20601,21/09/2000,Chlorophyll_a,0.1215,mg/L
SQ20601,24/10/2000,Chlorophyll_a,0.01,mg/L
SQ20601,16/11/2000,Chlorophyll_a,0.0285,mg/L
SQ20601,12/12/2000,Chlorophyll_a,0.0095,mg/L
SQ20601,15/01/2001,Chlorophyll_a,0.032,mg/L
SQ20601,28/02/2001,Chlorophyll_a,0.0323,mg/L
SQ20601,12/03/2001,Chlorophyll_a,0.0212,mg/L
SQ20601,10/04/2001,Chlorophyll_a,0.0096,mg/L
SQ20601,15/05/2001,Chlorophyll_a,0.0047,mg/L
SQ20601,20/06/2001,Chlorophyll_a,0.0472,mg/L
SQ20601,2/07/2003,Chlorophyll_a,0.001,mg/L
SQ20601,4/08/2003,Chlorophyll_a,0.0119,mg/L
SQ20601,1/09/2003,Chlorophyll_a,0.0313,mg/L
SQ20601,7/10/2003,Chlorophyll_a,0.0064,mg/L
SQ20601,3/11/2003,Chlorophyll_a,0.0085,mg/L
SQ20601,1/12/2003,Chlorophyll_a,0.0079,mg/L
SQ20601,14/01/2004,Chlorophyll_a,0.016,mg/L
SQ20601,2/02/2004,Chlorophyll_a,0.012,mg/L
SQ20601,1/03/2004,Chlorophyll_a,0.012,mg/L
SQ20601,19/04/2004,Chlorophyll_a,0.0019,mg/L
SQ20601,18/05/2004,Chlorophyll_a,0.0044,mg/L
SQ20601,1/06/2004,Chlorophyll_a,0.0153,mg/L
SQ20601,12/07/2004,Chlorophyll_a,0.0528,mg/L
SQ20601,9/08/2004,Chlorophyll_a,0.0008,mg/L
SQ20601,13/09/2004,Chlorophyll_a,0.1206,mg/L
SQ20601,11/10/2004,Chlorophyll_a,0.0116,mg/L
SQ20601,8/11/2004,Chlorophyll_a,0.0097,mg/L
SQ20601,6/12/2004,Chlorophyll_a,0.0017,mg/L
SQ20601,18/01/2005,Chlorophyll_a,0.0093,mg/L
SQ20601,7/02/2005,Chlorophyll_a,0.0203,mg/L
SQ20601,7/03/2005,Chlorophyll_a,0.0095,mg/L
SQ20601,11/04/2005,Chlorophyll_a,0.0114,mg/L
SQ20601,9/05/2005,Chlorophyll_a,0.0045,mg/L
SQ20601,7/06/2005,Chlorophyll_a,0.0023,mg/L
SQ20601,4/07/2005,Chlorophyll_a,0.0019,mg/L
SQ20601,1/08/2005,Chlorophyll_a,0.0033,mg/L
SQ20601,5/09/2005,Chlorophyll_a,0.0238,mg/L
SQ20601,3/10/2005,Chlorophyll_a,0.0064,mg/L
SQ20601,1/11/2005,Chlorophyll_a,0.2377,mg/L
SQ20601,5/12/2005,Chlorophyll_a,0.0192,mg/L
SQ20601,17/01/2006,Chlorophyll_a,0.0246,mg/L
SQ20601,8/02/2006,Chlorophyll_a,0.0109,mg/L
SQ20601,7/03/2006,Chlorophyll_a,0.0073,mg/L
SQ20601,3/04/2006,Chlorophyll_a,0.0083,mg/L
SQ20601,1/05/2006,Chlorophyll_a,0.0032,mg/L
SQ20601,6/06/2006,Chlorophyll_a,0.0018,mg/L
SQ20601,3/07/2006,Chlorophyll_a,0.0278,mg/L
SQ20601,2/08/2006,Chlorophyll_a,0.0038,mg/L
SQ20601,4/09/2006,Chlorophyll_a,0.011,mg/L
SQ20601,2/10/2006,Chlorophyll_a,0.0241,mg/L
SQ20601,1/11/2006,Chlorophyll_a,0.0017,mg/L
SQ20601,7/12/2006,Chlorophyll_a,0.0343,mg/L
SQ20601,18/01/2007,Chlorophyll_a,0.0432,mg/L
SQ20601,20/03/2007,Chlorophyll_a,0.0296,mg/L
SQ20601,3/04/2007,Chlorophyll_a,0.0204,mg/L
SQ20601,7/05/2007,Chlorophyll_a,0.0082,mg/L
SQ20601,5/06/2007,Chlorophyll_a,0.0039,mg/L
SQ20601,3/07/2007,Chlorophyll_a,0.0029,mg/L
SQ20601,6/08/2007,Chlorophyll_a,0.003,mg/L
SQ20601,4/09/2007,Chlorophyll_a,0.053,mg/L
SQ20601,2/10/2007,Chlorophyll_a,0.032,mg/L
SQ20601,5/11/2007,Chlorophyll_a,0.0349,mg/L
SQ20601,12/12/2007,Chlorophyll_a,0.0145,mg/L
SQ20601,7/01/2008,Chlorophyll_a,0.017,mg/L
SQ20601,11/02/2008,Chlorophyll_a,0.0599,mg/L
SQ20601,3/03/2008,Chlorophyll_a,0.0122,mg/L
SQ20601,1/04/2008,Chlorophyll_a,0.0049,mg/L
SQ20601,5/05/2008,Chlorophyll_a,0.0049,mg/L
SQ20601,3/06/2008,Chlorophyll_a,0.0028,mg/L
SQ20601,1/07/2008,Chlorophyll_a,0.001,mg/L
SQ20601,11/08/2008,Chlorophyll_a,0.0046,mg/L
SQ20601,1/09/2008,Chlorophyll_a,0.0053,mg/L
SQ20601,6/10/2008,Chlorophyll_a,0.1017,mg/L
SQ20601,3/11/2008,Chlorophyll_a,0.0261,mg/L
SQ20601,3/12/2008,Chlorophyll_a,0.0108,mg/L
SQ20601,5/01/2009,Chlorophyll_a,0.0282,mg/L
SQ20601,2/02/2009,Chlorophyll_a,0.0396,mg/L
SQ20601,3/03/2009,Chlorophyll_a,0.0109,mg/L
SQ20601,6/04/2009,Chlorophyll_a,0.0229,mg/L
SQ20601,4/05/2009,Chlorophyll_a,0.0052,mg/L
SQ20601,2/06/2009,Chlorophyll_a,0.0034,mg/L
SQ20601,8/07/2009,Chlorophyll_a,0.0034,mg/L
SQ20601,3/08/2009,Chlorophyll_a,0.0053,mg/L
SQ20601,7/09/2009,Chlorophyll_a,0.0172,mg/L
SQ20601,6/10/2009,Chlorophyll_a,0.006,mg/L
SQ20601,2/11/2009,Chlorophyll_a,0.0405,mg/L
