SITE_ID,DATE,PARAMETER,VALUE,UNITS
SQ20601,20/03/2000,Total_Nitrogen,1.7,mg/L
SQ20601,17/07/2000,Total_Nitrogen,0.93,mg/L
SQ20601,21/09/2000,Total_Nitrogen,4.2,mg/L
SQ20601,24/10/2000,Total_Nitrogen,2,mg/L
SQ20601,16/11/2000,Total_Nitrogen,1.8,mg/L
SQ20601,12/12/2000,Total_Nitrogen,1.8,mg/L
SQ20601,15/01/2001,Total_Nitrogen,2,mg/L
SQ20601,28/02/2001,Total_Nitrogen,1.6,mg/L
SQ20601,12/03/2001,Total_Nitrogen,1.9,mg/L
SQ20601,10/04/2001,Total_Nitrogen,0.92,mg/L
SQ20601,15/05/2001,Total_Nitrogen,0.89,mg/L
SQ20601,20/06/2001,Total_Nitrogen,2.2,mg/L
SQ20601,2/07/2003,Total_Nitrogen,1,mg/L
SQ20601,4/08/2003,Total_Nitrogen,1.5,mg/L
SQ20601,1/09/2003,Total_Nitrogen,0.95,mg/L
SQ20601,7/10/2003,Total_Nitrogen,0.56,mg/L
SQ20601,3/11/2003,Total_Nitrogen,0.78,mg/L
SQ20601,1/12/2003,Total_Nitrogen,0.91,mg/L
SQ20601,14/01/2004,Total_Nitrogen,1,mg/L
SQ20601,2/02/2004,Total_Nitrogen,1,mg/L
SQ20601,1/03/2004,Total_Nitrogen,0.93,mg/L
SQ20601,19/04/2004,Total_Nitrogen,2.8,mg/L
SQ20601,18/05/2004,Total_Nitrogen,0.85,mg/L
SQ20601,1/06/2004,Total_Nitrogen,1.5,mg/L
SQ20601,12/07/2004,Total_Nitrogen,1.3,mg/L
SQ20601,9/08/2004,Total_Nitrogen,2.1,mg/L
SQ20601,13/09/2004,Total_Nitrogen,4.7,mg/L
SQ20601,11/10/2004,Total_Nitrogen,0.81,mg/L
SQ20601,8/11/2004,Total_Nitrogen,2.1,mg/L
SQ20601,6/12/2004,Total_Nitrogen,2.2,mg/L
SQ20601,18/01/2005,Total_Nitrogen,1,mg/L
SQ20601,7/02/2005,Total_Nitrogen,1.2,mg/L
SQ20601,7/03/2005,Total_Nitrogen,0.98,mg/L
SQ20601,11/04/2005,Total_Nitrogen,1.3,mg/L
