SITE_ID,DATE,PARAMETER,VALUE,UNITS
SQ20601,5/07/1983,Turbidity,24,NTU
SQ20601,24/05/1984,Turbidity,98,NTU
SQ20601,18/09/1984,Turbidity,33,NTU
SQ20601,12/06/1985,Turbidity,6.4,NTU
SQ20601,22/04/1986,Turbidity,7.2,NTU
SQ20601,20/07/1988,Turbidity,9,NTU
SQ20601,3/04/1989,Turbidity,37,NTU
SQ20601,14/11/1989,Turbidity,45,NTU
SQ20601,3/04/1990,Turbidity,210,NTU
SQ20601,9/08/1990,Turbidity,41,NTU
SQ20601,10/10/1990,Turbidity,110,NTU
SQ20601,13/03/1991,Turbidity,23,NTU
SQ20601,21/08/1991,Turbidity,81,NTU
SQ20601,20/03/2000,Turbidity,75,NTU
SQ20601,17/07/2000,Turbidity,3.7,NTU
SQ20601,21/09/2000,Turbidity,120,NTU
SQ20601,24/10/2000,Turbidity,19,NTU
SQ20601,16/11/2000,Turbidity,190,NTU
SQ20601,12/12/2000,Turbidity,7.8,NTU
SQ20601,15/01/2001,Turbidity,150,NTU
SQ20601,28/02/2001,Turbidity,27,NTU
SQ20601,12/03/2001,Turbidity,60,NTU
SQ20601,10/04/2001,Turbidity,25,NTU
SQ20601,15/05/2001,Turbidity,15,NTU
SQ20601,20/06/2001,Turbidity,50,NTU
SQ20601,2/07/2003,Turbidity,7.8,NTU
SQ20601,4/08/2003,Turbidity,66,NTU
SQ20601,1/09/2003,Turbidity,7.5,NTU
SQ20601,7/10/2003,Turbidity,4.6,NTU
SQ20601,3/11/2003,Turbidity,21,NTU
SQ20601,1/12/2003,Turbidity,68,NTU
SQ20601,14/01/2004,Turbidity,47,NTU
SQ20601,2/02/2004,Turbidity,40,NTU
SQ20601,1/03/2004,Turbidity,24,NTU
SQ20601,19/04/2004,Turbidity,180,NTU
SQ20601,18/05/2004,Turbidity,6.8,NTU
SQ20601,1/06/2004,Turbidity,13,NTU
SQ20601,12/07/2004,Turbidity,76,NTU
SQ20601,9/08/2004,Turbidity,18,NTU
SQ20601,13/09/2004,Turbidity,220,NTU
